date,dates,rank,song,artist
06/04/1959,01/04/1959,6,Never Be Anyone Else But You,Ricky Nelson
06/04/1959,01/04/1959,7,Charlie Brown,The Coasters
06/04/1959,01/04/1959,8,Alvin's Harmonica,David Seville And The Chipmunks
06/04/1959,01/04/1959,9,It's Late,Ricky Nelson
06/04/1959,01/04/1959,10,Guitar Boogie Shuffle,The Virtues
06/04/1959,01/04/1959,11,I've Had It,The Bell Notes
06/04/1959,01/04/1959,12,I Need Your Love Tonight,Elvis Presley With The Jordanaires
06/04/1959,01/04/1959,13,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires
06/04/1959,01/04/1959,14,Sea Cruise,Frankie Ford
06/04/1959,01/04/1959,15,Since I Don't Have You,The Skyliners
04/05/1959,01/05/1959,1,Come Softly To Me,The Fleetwoods
04/05/1959,01/05/1959,2,The Happy Organ,"Dave ""Baby"" Cortez"
04/05/1959,01/05/1959,3,Sorry (I Ran All The Way Home),The Impalas
04/05/1959,01/05/1959,4,Pink Shoe Laces,Dodie Stevens
04/05/1959,01/05/1959,5,Guitar Boogie Shuffle,The Virtues
04/05/1959,01/05/1959,6,(Now and Then There's) A Fool Such As I,Elvis Presley With The Jordanaires
04/05/1959,01/05/1959,7,I Need Your Love Tonight,Elvis Presley With The Jordanaires
04/05/1959,01/05/1959,8,Tell Him No,Travis & Bob
04/05/1959,01/05/1959,9,Venus,Frankie Avalon
04/05/1959,01/05/1959,10,Turn Me Loose,Fabian
04/05/1959,01/05/1959,11,Three Stars,Tommy Dee with Carol Kay and the Teen-Aires
04/05/1959,01/05/1959,12,Enchanted,The Platters
04/05/1959,01/05/1959,13,That's Why (I Love You So),Jackie Wilson
04/05/1959,01/05/1959,14,Since I Don't Have You,The Skyliners
04/05/1959,01/05/1959,15,The Tijuana Jail,The Kingston Trio
01/06/1959,01/06/1959,1,The Battle Of New Orleans,Johnny Horton
01/06/1959,01/06/1959,2,Kansas City,Wilbert Harrison
01/06/1959,01/06/1959,3,Dream Lover,Bobby Darin
01/06/1959,01/06/1959,4,Quiet Village,The Exotic Sounds of Martin Denny
01/06/1959,01/06/1959,5,Personality,Lloyd Price and His Orchestra
01/06/1959,01/06/1959,6,A Teenager In Love,Dion & The Belmonts
01/06/1959,01/06/1959,7,"Kookie, Kookie (Lend Me Your Comb)",Edward Byrnes & Connie Stevens
01/06/1959,01/06/1959,8,Sorry (I Ran All The Way Home),The Impalas
01/06/1959,01/06/1959,9,Only You,Franck Pourcel's French Fiddles
01/06/1959,01/06/1959,10,The Happy Organ,"Dave ""Baby"" Cortez"
01/06/1959,01/06/1959,11,"Goodbye Jimmy, Goodbye",Kathy Linden
01/06/1959,01/06/1959,12,So Fine,The Fiestas
01/06/1959,01/06/1959,13,Endlessly,Brook Benton
01/06/1959,01/06/1959,14,Turn Me Loose,Fabian
01/06/1959,01/06/1959,15,Tallahassee Lassie,Freddy Cannon
06/07/1959,01/07/1959,1,The Battle Of New Orleans,Johnny Horton
06/07/1959,01/07/1959,2,Lonely Boy,Paul Anka
06/07/1959,01/07/1959,3,Personality,Lloyd Price and His Orchestra
06/07/1959,01/07/1959,4,Dream Lover,Bobby Darin
06/07/1959,01/07/1959,5,Lipstick On Your Collar,Connie Francis
06/07/1959,01/07/1959,6,Waterloo,Stonewall Jackson
06/07/1959,01/07/1959,7,Tallahassee Lassie,Freddy Cannon
06/07/1959,01/07/1959,8,Bobby Sox To Stockings,Frankie Avalon
06/07/1959,01/07/1959,9,Frankie,Connie Francis
06/07/1959,01/07/1959,10,Tiger,Fabian
06/07/1959,01/07/1959,11,Along Came Jones,The Coasters
06/07/1959,01/07/1959,12,A Boy Without A Girl,Frankie Avalon
06/07/1959,01/07/1959,13,My Heart Is An Open Book,"Carl Dobkins, Jr."
06/07/1959,01/07/1959,14,Quiet Village,The Exotic Sounds of Martin Denny
06/07/1959,01/07/1959,15,Bongo Rock,Preston Epps
03/08/1959,01/08/1959,1,Lonely Boy,Paul Anka
03/08/1959,01/08/1959,2,A Big Hunk O' Love,Elvis Presley With The Jordanaires
03/08/1959,01/08/1959,3,My Heart Is An Open Book,"Carl Dobkins, Jr."
03/08/1959,01/08/1959,4,The Battle Of New Orleans,Johnny Horton
03/08/1959,01/08/1959,5,Tiger,Fabian
03/08/1959,01/08/1959,6,There Goes My Baby,The Drifters
03/08/1959,01/08/1959,7,Waterloo,Stonewall Jackson
03/08/1959,01/08/1959,8,Lavender-Blue,Sammy Turner
03/08/1959,01/08/1959,9,Sweeter Than You,Ricky Nelson
03/08/1959,01/08/1959,10,Forty Miles Of Bad Road,Duane Eddy And The Rebels
03/08/1959,01/08/1959,11,Lipstick On Your Collar,Connie Francis
03/08/1959,01/08/1959,12,Just A Little Too Much,Ricky Nelson
03/08/1959,01/08/1959,13,What A Diff'rence A Day Makes,Dinah Washington
03/08/1959,01/08/1959,14,My Wish Came True,Elvis Presley With The Jordanaires
03/08/1959,01/08/1959,15,What'd I Say (Part I & II),Ray Charles and his Orchestra
07/09/1959,01/09/1959,1,The Three Bells,The Browns
07/09/1959,01/09/1959,2,Sleep Walk,Santo & Johnny
07/09/1959,01/09/1959,3,Sea Of Love,Phil Phillips With The Twilights
07/09/1959,01/09/1959,4,I'm Gonna Get Married,Lloyd Price
07/09/1959,01/09/1959,5,Red River Rock,Johnny And The Hurricanes
07/09/1959,01/09/1959,6,('til) I Kissed You,The Everly Brothers
07/09/1959,01/09/1959,7,Broken-Hearted Melody,Sarah Vaughan
07/09/1959,01/09/1959,8,Lavender-Blue,Sammy Turner
07/09/1959,01/09/1959,9,What'd I Say (Part I & II),Ray Charles and his Orchestra
07/09/1959,01/09/1959,10,I Want To Walk You Home,Fats Domino
07/09/1959,01/09/1959,11,Baby Talk,Jan & Dean
07/09/1959,01/09/1959,12,There Goes My Baby,The Drifters
07/09/1959,01/09/1959,13,A Big Hunk O' Love,Elvis Presley With The Jordanaires
07/09/1959,01/09/1959,14,Kissin' Time,Bobby Rydell
07/09/1959,01/09/1959,15,It Was I,Skip And Flip
05/10/1959,01/10/1959,1,Mack The Knife,Bobby Darin
05/10/1959,01/10/1959,2,Put Your Head On My Shoulder,Paul Anka
05/10/1959,01/10/1959,3,Sleep Walk,Santo & Johnny
05/10/1959,01/10/1959,4,('til) I Kissed You,The Everly Brothers
05/10/1959,01/10/1959,5,The Three Bells,The Browns
05/10/1959,01/10/1959,6,Teen Beat,Sandy Nelson
05/10/1959,01/10/1959,7,I'm Gonna Get Married,Lloyd Price
05/10/1959,01/10/1959,8,Mr. Blue,The Fleetwoods
05/10/1959,01/10/1959,9,Red River Rock,Johnny And The Hurricanes
05/10/1959,01/10/1959,10,Poison Ivy,The Coasters
05/10/1959,01/10/1959,11,Sea Of Love,Phil Phillips With The Twilights
05/10/1959,01/10/1959,12,Just Ask Your Heart,Frankie Avalon
05/10/1959,01/10/1959,13,Broken-Hearted Melody,Sarah Vaughan
05/10/1959,01/10/1959,14,Lonely Street,Andy Williams
05/10/1959,01/10/1959,15,Primrose Lane,Jerry Wallace With The Jewels
02/11/1959,01/11/1959,1,Mack The Knife,Bobby Darin
02/11/1959,01/11/1959,2,Mr. Blue,The Fleetwoods
02/11/1959,01/11/1959,3,Put Your Head On My Shoulder,Paul Anka
02/11/1959,01/11/1959,4,Don't You Know,Della Reese
02/11/1959,01/11/1959,5,Teen Beat,Sandy Nelson
02/11/1959,01/11/1959,6,Lonely Street,Andy Williams
02/11/1959,01/11/1959,7,Deck Of Cards,Wink Martindale
02/11/1959,01/11/1959,8,Primrose Lane,Jerry Wallace With The Jewels
02/11/1959,01/11/1959,9,Just Ask Your Heart,Frankie Avalon
02/11/1959,01/11/1959,10,Poison Ivy,The Coasters
02/11/1959,01/11/1959,11,('til) I Kissed You,The Everly Brothers
02/11/1959,01/11/1959,12,Heartaches By The Number,Guy Mitchell
02/11/1959,01/11/1959,13,So Many Ways,Brook Benton
02/11/1959,01/11/1959,14,In The Mood,Ernie Fields & Orch.
02/11/1959,01/11/1959,15,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls
07/12/1959,01/12/1959,1,Mack The Knife,Bobby Darin
07/12/1959,01/12/1959,2,Heartaches By The Number,Guy Mitchell
07/12/1959,01/12/1959,3,Mr. Blue,The Fleetwoods
07/12/1959,01/12/1959,4,Don't You Know,Della Reese
07/12/1959,01/12/1959,5,In The Mood,Ernie Fields & Orch.
07/12/1959,01/12/1959,6,We Got Love,Bobby Rydell
07/12/1959,01/12/1959,7,So Many Ways,Brook Benton
07/12/1959,01/12/1959,8,Be My Guest,Fats Domino
07/12/1959,01/12/1959,9,Oh! Carol,Neil Sedaka
07/12/1959,01/12/1959,10,Danny Boy,Conway Twitty
07/12/1959,01/12/1959,11,Put Your Head On My Shoulder,Paul Anka
07/12/1959,01/12/1959,12,Deck Of Cards,Wink Martindale
07/12/1959,01/12/1959,13,Misty,Johnny Mathis
07/12/1959,01/12/1959,14,(Seven Little Girls) Sitting In The Back Seat,Paul Evans and the Curls
07/12/1959,01/12/1959,15,El Paso,Marty Robbins
04/01/1960,01/01/1960,1,El Paso,Marty Robbins
04/01/1960,01/01/1960,2,Why,Frankie Avalon
04/01/1960,01/01/1960,3,The Big Hurt,Miss Toni Fisher
04/01/1960,01/01/1960,4,Running Bear,Johnny Preston
04/01/1960,01/01/1960,5,Way Down Yonder In New Orleans,Freddie Cannon
04/01/1960,01/01/1960,6,Heartaches By The Number,Guy Mitchell
04/01/1960,01/01/1960,7,It's Time To Cry,Paul Anka
04/01/1960,01/01/1960,8,Among My Souvenirs,Connie Francis
04/01/1960,01/01/1960,9,Pretty Blue Eyes,Steve Lawrence
04/01/1960,01/01/1960,10,"Go, Jimmy, Go",Jimmy Clanton
04/01/1960,01/01/1960,11,We Got Love,Bobby Rydell
04/01/1960,01/01/1960,12,Mack The Knife,Bobby Darin
04/01/1960,01/01/1960,13,The Village Of St. Bernadette,Andy Williams
04/01/1960,01/01/1960,14,Uh! Oh! Part 2,The Nutty Squirrels
04/01/1960,01/01/1960,15,Sandy,Larry Hall
01/02/1960,01/02/1960,1,Running Bear,Johnny Preston
01/02/1960,01/02/1960,2,Teen Angel,Mark Dinning
01/02/1960,01/02/1960,3,El Paso,Marty Robbins
01/02/1960,01/02/1960,4,Where Or When,Dion & The Belmonts
01/02/1960,01/02/1960,5,"Go, Jimmy, Go",Jimmy Clanton
01/02/1960,01/02/1960,6,Why,Frankie Avalon
01/02/1960,01/02/1960,7,Handy Man,Jimmy Jones
01/02/1960,01/02/1960,8,The Big Hurt,Miss Toni Fisher
01/02/1960,01/02/1960,9,Way Down Yonder In New Orleans,Freddie Cannon
01/02/1960,01/02/1960,10,Pretty Blue Eyes,Steve Lawrence
01/02/1960,01/02/1960,11,The Village Of St. Bernadette,Andy Williams
