date,dates,rank,song,artist
02/01/1982,01/01/1982,9,Don't Stop Believin',Journey
02/01/1982,01/01/1982,10,Trouble,Lindsey Buckingham
02/01/1982,01/01/1982,11,Centerfold,The J. Geils Band
02/01/1982,01/01/1982,12,Yesterday's Songs,Neil Diamond
02/01/1982,01/01/1982,13,Comin' In And Out Of Your Life,Barbra Streisand
02/01/1982,01/01/1982,14,Turn Your Love Around,George Benson
02/01/1982,01/01/1982,15,The Sweetest Thing (I've Ever Known),Juice Newton
06/02/1982,01/02/1982,1,Centerfold,The J. Geils Band
06/02/1982,01/02/1982,2,I Can't Go For That (No Can Do),Daryl Hall John Oates
06/02/1982,01/02/1982,3,Waiting For A Girl Like You,Foreigner
06/02/1982,01/02/1982,4,Harden My Heart,Quarterflash
06/02/1982,01/02/1982,5,Turn Your Love Around,George Benson
06/02/1982,01/02/1982,6,Leather And Lace,Stevie Nicks With Don Henley
06/02/1982,01/02/1982,7,Physical,Olivia Newton-John
06/02/1982,01/02/1982,8,The Sweetest Thing (I've Ever Known),Juice Newton
06/02/1982,01/02/1982,9,Shake It Up,The Cars
06/02/1982,01/02/1982,10,Hooked On Classics,Royal Philharmonic Orchestra
06/02/1982,01/02/1982,11,Cool Night,Paul Davis
06/02/1982,01/02/1982,12,Sweet Dreams,Air Supply
06/02/1982,01/02/1982,13,Waiting On A Friend,The Rolling Stones
06/02/1982,01/02/1982,14,Leader Of The Band,Dan Fogelberg
06/02/1982,01/02/1982,15,Open Arms,Journey
06/03/1982,01/03/1982,1,Centerfold,The J. Geils Band
06/03/1982,01/03/1982,2,Open Arms,Journey
06/03/1982,01/03/1982,3,I Love Rock 'N Roll,Joan Jett & the Blackhearts
06/03/1982,01/03/1982,4,Shake It Up,The Cars
06/03/1982,01/03/1982,5,That Girl,Stevie Wonder
06/03/1982,01/03/1982,6,Sweet Dreams,Air Supply
06/03/1982,01/03/1982,7,I Can't Go For That (No Can Do),Daryl Hall John Oates
06/03/1982,01/03/1982,8,"Mirror, Mirror",Diana Ross
06/03/1982,01/03/1982,9,Leader Of The Band,Dan Fogelberg
06/03/1982,01/03/1982,10,Take It Easy On Me,Little River Band
06/03/1982,01/03/1982,11,We Got The Beat,Go-Go's
06/03/1982,01/03/1982,12,Spirits In The Material World,The Police
06/03/1982,01/03/1982,13,Through The Years,Kenny Rogers
06/03/1982,01/03/1982,14,Pac-Man Fever,Buckner & Garcia
06/03/1982,01/03/1982,15,Love In The First Degree,Alabama
03/04/1982,01/04/1982,1,I Love Rock 'N Roll,Joan Jett & the Blackhearts
03/04/1982,01/04/1982,2,Open Arms,Journey
03/04/1982,01/04/1982,3,We Got The Beat,Go-Go's
03/04/1982,01/04/1982,4,That Girl,Stevie Wonder
03/04/1982,01/04/1982,5,Make A Move On Me,Olivia Newton-John
03/04/1982,01/04/1982,6,Chariots Of Fire - Titles,Vangelis
03/04/1982,01/04/1982,7,Freeze-frame,The J. Geils Band
03/04/1982,01/04/1982,8,Don't Talk To Strangers,Rick Springfield
03/04/1982,01/04/1982,9,Pac-Man Fever,Buckner & Garcia
03/04/1982,01/04/1982,10,Key Largo,Bertie Higgins
03/04/1982,01/04/1982,11,Sweet Dreams,Air Supply
03/04/1982,01/04/1982,12,Do You Believe In Love,Huey Lewis & The News
03/04/1982,01/04/1982,13,Should I Do It,The Pointer Sisters
03/04/1982,01/04/1982,14,Edge Of Seventeen (Just Like The White Winged Dove),Stevie Nicks
03/04/1982,01/04/1982,15,(oh) Pretty Woman,Van Halen
01/05/1982,01/05/1982,1,I Love Rock 'N Roll,Joan Jett & the Blackhearts
01/05/1982,01/05/1982,2,Chariots Of Fire - Titles,Vangelis
01/05/1982,01/05/1982,3,Ebony And Ivory,Paul McCartney And Stevie Wonder
01/05/1982,01/05/1982,4,Freeze-frame,The J. Geils Band
01/05/1982,01/05/1982,5,Don't Talk To Strangers,Rick Springfield
01/05/1982,01/05/1982,6,We Got The Beat,Go-Go's
01/05/1982,01/05/1982,7,Do You Believe In Love,Huey Lewis & The News
01/05/1982,01/05/1982,8,867-5309/jenny,Tommy Tutone
01/05/1982,01/05/1982,9,'65 Love Affair,Paul Davis
01/05/1982,01/05/1982,10,I've Never Been To Me,Charlene
01/05/1982,01/05/1982,11,Did It In A Minute,Daryl Hall John Oates
01/05/1982,01/05/1982,12,Key Largo,Bertie Higgins
01/05/1982,01/05/1982,13,Get Down On It,Kool & The Gang
01/05/1982,01/05/1982,14,The Beatles' Movie Medley,The Beatles
01/05/1982,01/05/1982,15,The Other Woman,Ray Parker Jr.
05/06/1982,01/06/1982,1,Ebony And Ivory,Paul McCartney And Stevie Wonder
05/06/1982,01/06/1982,2,Don't Talk To Strangers,Rick Springfield
05/06/1982,01/06/1982,3,I've Never Been To Me,Charlene
05/06/1982,01/06/1982,4,867-5309/jenny,Tommy Tutone
05/06/1982,01/06/1982,5,The Other Woman,Ray Parker Jr.
05/06/1982,01/06/1982,6,Don't You Want Me,The Human League
05/06/1982,01/06/1982,7,Always On My Mind,Willie Nelson
05/06/1982,01/06/1982,8,Heat Of The Moment,Asia
05/06/1982,01/06/1982,9,'65 Love Affair,Paul Davis
05/06/1982,01/06/1982,10,Rosanna,Toto
05/06/1982,01/06/1982,11,Crimson And Clover,Joan Jett & the Blackhearts
05/06/1982,01/06/1982,12,It's Gonna Take A Miracle,Deniece Williams
05/06/1982,01/06/1982,13,Empty Garden (Hey Hey Johnny),Elton John
05/06/1982,01/06/1982,14,Man On Your Mind,Little River Band
05/06/1982,01/06/1982,15,Did It In A Minute,Daryl Hall John Oates
03/07/1982,01/07/1982,1,Don't You Want Me,The Human League
03/07/1982,01/07/1982,2,Rosanna,Toto
03/07/1982,01/07/1982,3,Ebony And Ivory,Paul McCartney And Stevie Wonder
03/07/1982,01/07/1982,4,Heat Of The Moment,Asia
03/07/1982,01/07/1982,5,Hurts So Good,John Cougar
03/07/1982,01/07/1982,6,Always On My Mind,Willie Nelson
03/07/1982,01/07/1982,7,Let It Whip,Dazz Band
03/07/1982,01/07/1982,8,Love's Been A Little Bit Hard On Me,Juice Newton
03/07/1982,01/07/1982,9,Eye Of The Tiger,Survivor
03/07/1982,01/07/1982,10,Caught Up In You,38 Special
03/07/1982,01/07/1982,11,Tainted Love,Soft Cell
03/07/1982,01/07/1982,12,Crimson And Clover,Joan Jett & the Blackhearts
03/07/1982,01/07/1982,13,Only The Lonely,The Motels
03/07/1982,01/07/1982,14,The Other Woman,Ray Parker Jr.
03/07/1982,01/07/1982,15,Any Day Now,Ronnie Milsap
07/08/1982,01/08/1982,1,Eye Of The Tiger,Survivor
07/08/1982,01/08/1982,2,Hurts So Good,John Cougar
07/08/1982,01/08/1982,3,Abracadabra,The Steve Miller Band
07/08/1982,01/08/1982,4,Hold Me,Fleetwood Mac
07/08/1982,01/08/1982,5,Hard To Say I'm Sorry,Chicago
07/08/1982,01/08/1982,6,Rosanna,Toto
07/08/1982,01/08/1982,7,Even The Nights Are Better,Air Supply
07/08/1982,01/08/1982,8,Keep The Fire Burnin',REO Speedwagon
07/08/1982,01/08/1982,9,Only The Lonely,The Motels
07/08/1982,01/08/1982,10,Don't You Want Me,The Human League
07/08/1982,01/08/1982,11,Wasted On The Way,"Crosby, Stills & Nash"
07/08/1982,01/08/1982,12,Vacation,Go-Go's
07/08/1982,01/08/1982,13,Let It Whip,Dazz Band
07/08/1982,01/08/1982,14,Take It Away,Paul McCartney
07/08/1982,01/08/1982,15,You Should Hear How She Talks About You,Melissa Manchester
04/09/1982,01/09/1982,1,Abracadabra,The Steve Miller Band
04/09/1982,01/09/1982,2,Eye Of The Tiger,Survivor
04/09/1982,01/09/1982,3,Hard To Say I'm Sorry,Chicago
04/09/1982,01/09/1982,4,Hold Me,Fleetwood Mac
04/09/1982,01/09/1982,5,Even The Nights Are Better,Air Supply
04/09/1982,01/09/1982,6,You Should Hear How She Talks About You,Melissa Manchester
04/09/1982,01/09/1982,7,Hurts So Good,John Cougar
04/09/1982,01/09/1982,8,Vacation,Go-Go's
04/09/1982,01/09/1982,9,Wasted On The Way,"Crosby, Stills & Nash"
04/09/1982,01/09/1982,10,Take It Away,Paul McCartney
04/09/1982,01/09/1982,11,Jack & Diane,John Cougar
04/09/1982,01/09/1982,12,Love Is In Control (Finger On The Trigger),Donna Summer
04/09/1982,01/09/1982,13,Love Will Turn You Around,Kenny Rogers
04/09/1982,01/09/1982,14,Eye In The Sky,The Alan Parsons Project
04/09/1982,01/09/1982,15,Who Can It Be Now?,Men At Work
02/10/1982,01/10/1982,1,Jack & Diane,John Cougar
02/10/1982,01/10/1982,2,Abracadabra,The Steve Miller Band
02/10/1982,01/10/1982,3,Hard To Say I'm Sorry,Chicago
02/10/1982,01/10/1982,4,Eye Of The Tiger,Survivor
02/10/1982,01/10/1982,5,You Should Hear How She Talks About You,Melissa Manchester
02/10/1982,01/10/1982,6,Eye In The Sky,The Alan Parsons Project
02/10/1982,01/10/1982,7,Who Can It Be Now?,Men At Work
02/10/1982,01/10/1982,8,Somebody's Baby,Jackson Browne
02/10/1982,01/10/1982,9,I Keep Forgettin' (Every Time You're Near),Michael McDonald
02/10/1982,01/10/1982,10,Hurts So Good,John Cougar
02/10/1982,01/10/1982,11,You Can Do Magic,America
02/10/1982,01/10/1982,12,Blue Eyes,Elton John
02/10/1982,01/10/1982,13,Heart Attack,Olivia Newton-John
02/10/1982,01/10/1982,14,I Ran (So Far Away),A Flock Of Seagulls
02/10/1982,01/10/1982,15,Break It To Me Gently,Juice Newton
06/11/1982,01/11/1982,1,Up Where We Belong,Joe Cocker And Jennifer Warnes
06/11/1982,01/11/1982,2,Who Can It Be Now?,Men At Work
06/11/1982,01/11/1982,3,Heart Attack,Olivia Newton-John
06/11/1982,01/11/1982,4,I Keep Forgettin' (Every Time You're Near),Michael McDonald
06/11/1982,01/11/1982,5,Jack & Diane,John Cougar
06/11/1982,01/11/1982,6,Eye In The Sky,The Alan Parsons Project
06/11/1982,01/11/1982,7,Heartlight,Neil Diamond
06/11/1982,01/11/1982,8,You Can Do Magic,America
06/11/1982,01/11/1982,9,Gloria,Laura Branigan
06/11/1982,01/11/1982,10,Truly,Lionel Richie
06/11/1982,01/11/1982,11,Break It To Me Gently,Juice Newton
06/11/1982,01/11/1982,12,Gypsy,Fleetwood Mac
06/11/1982,01/11/1982,13,Somebody's Baby,Jackson Browne
06/11/1982,01/11/1982,14,Muscles,Diana Ross
06/11/1982,01/11/1982,15,The One You Love,Glenn Frey
04/12/1982,01/12/1982,1,Truly,Lionel Richie
04/12/1982,01/12/1982,2,Gloria,Laura Branigan
04/12/1982,01/12/1982,3,Mickey,Toni Basil
04/12/1982,01/12/1982,4,Maneater,Daryl Hall John Oates
04/12/1982,01/12/1982,5,Heartlight,Neil Diamond
04/12/1982,01/12/1982,6,Up Where We Belong,Joe Cocker And Jennifer Warnes
04/12/1982,01/12/1982,7,Steppin' Out,Joe Jackson
04/12/1982,01/12/1982,8,The Girl Is Mine,Michael Jackson And Paul McCartney
04/12/1982,01/12/1982,9,Dirty Laundry,Don Henley
04/12/1982,01/12/1982,10,Muscles,Diana Ross
04/12/1982,01/12/1982,11,Rock This Town,Stray Cats
04/12/1982,01/12/1982,12,Sexual Healing,Marvin Gaye
04/12/1982,01/12/1982,13,It's Raining Again,Supertramp Featuring Roger Hodgson
04/12/1982,01/12/1982,14,Shadows Of The Night,Pat Benatar
04/12/1982,01/12/1982,15,Nobody,Sylvia
01/01/1983,01/01/1983,1,Maneater,Daryl Hall John Oates
01/01/1983,01/01/1983,2,Mickey,Toni Basil
01/01/1983,01/01/1983,3,The Girl Is Mine,Michael Jackson And Paul McCartney
01/01/1983,01/01/1983,4,Dirty Laundry,Don Henley
01/01/1983,01/01/1983,5,Gloria,Laura Branigan
01/01/1983,01/01/1983,6,Steppin' Out,Joe Jackson
01/01/1983,01/01/1983,7,Sexual Healing,Marvin Gaye
01/01/1983,01/01/1983,8,Down Under,Men At Work
01/01/1983,01/01/1983,9,Rock This Town,Stray Cats
01/01/1983,01/01/1983,10,Truly,Lionel Richie
01/01/1983,01/01/1983,11,It's Raining Again,Supertramp Featuring Roger Hodgson
01/01/1983,01/01/1983,12,Heartbreaker,Dionne Warwick
01/01/1983,01/01/1983,13,Shadows Of The Night,Pat Benatar
01/01/1983,01/01/1983,14,Africa,Toto
01/01/1983,01/01/1983,15,Rock The Casbah,The Clash
05/02/1983,01/02/1983,1,Africa,Toto
05/02/1983,01/02/1983,2,Down Under,Men At Work
05/02/1983,01/02/1983,3,Sexual Healing,Marvin Gaye
05/02/1983,01/02/1983,4,"Baby, Come To Me",Patti Austin A Duet With James Ingram
05/02/1983,01/02/1983,5,Shame On The Moon,Bob Seger & The Silver Bullet Band
05/02/1983,01/02/1983,6,Maneater,Daryl Hall John Oates
05/02/1983,01/02/1983,7,Dirty Laundry,Don Henley
05/02/1983,01/02/1983,8,Rock The Casbah,The Clash
05/02/1983,01/02/1983,9,You And I,Eddie Rabbitt With Crystal Gayle
05/02/1983,01/02/1983,10,You Can't Hurry Love,Phil Collins
05/02/1983,01/02/1983,11,The Other Guy,Little River Band
05/02/1983,01/02/1983,12,Stray Cat Strut,Stray Cats
05/02/1983,01/02/1983,13,Goody Two Shoes,Adam Ant
05/02/1983,01/02/1983,14,Pass The Dutchie,Musical Youth
05/02/1983,01/02/1983,15,Heart To Heart,Kenny Loggins
05/03/1983,01/03/1983,1,Billie Jean,Michael Jackson
05/03/1983,01/03/1983,2,Shame On The Moon,Bob Seger & The Silver Bullet Band
05/03/1983,01/03/1983,3,Stray Cat Strut,Stray Cats
05/03/1983,01/03/1983,4,Do You Really Want To Hurt Me,Culture Club
05/03/1983,01/03/1983,5,Hungry Like The Wolf,Duran Duran
05/03/1983,01/03/1983,6,"Baby, Come To Me",Patti Austin A Duet With James Ingram
05/03/1983,01/03/1983,7,You And I,Eddie Rabbitt With Crystal Gayle
05/03/1983,01/03/1983,8,We've Got Tonight,Kenny Rogers And Sheena Easton
05/03/1983,01/03/1983,9,Back On The Chain Gang,Pretenders
05/03/1983,01/03/1983,10,Pass The Dutchie,Musical Youth
05/03/1983,01/03/1983,11,You Are,Lionel Richie
05/03/1983,01/03/1983,12,All Right,Christopher Cross
05/03/1983,01/03/1983,13,Your Love Is Driving Me Crazy,Sammy Hagar
05/03/1983,01/03/1983,14,Down Under,Men At Work
05/03/1983,01/03/1983,15,Separate Ways (Worlds Apart),Journey
02/04/1983,01/04/1983,1,Billie Jean,Michael Jackson
02/04/1983,01/04/1983,2,Do You Really Want To Hurt Me,Culture Club
02/04/1983,01/04/1983,3,Hungry Like The Wolf,Duran Duran
02/04/1983,01/04/1983,4,You Are,Lionel Richie
02/04/1983,01/04/1983,5,Back On The Chain Gang,Pretenders
02/04/1983,01/04/1983,6,We've Got Tonight,Kenny Rogers And Sheena Easton
02/04/1983,01/04/1983,7,Mr. Roboto,Styx
02/04/1983,01/04/1983,8,Separate Ways (Worlds Apart),Journey
02/04/1983,01/04/1983,9,One On One,Daryl Hall John Oates
02/04/1983,01/04/1983,10,Twilight Zone,Golden Earring
02/04/1983,01/04/1983,11,Come On Eileen,Dexys Midnight Runners
02/04/1983,01/04/1983,12,Jeopardy,Greg Kihn Band
02/04/1983,01/04/1983,13,I Know There's Something Going On,Frida
02/04/1983,01/04/1983,14,Beat It,Michael Jackson
02/04/1983,01/04/1983,15,Der Kommissar,After The Fire
07/05/1983,01/05/1983,1,Beat It,Michael Jackson
07/05/1983,01/05/1983,2,Jeopardy,Greg Kihn Band
07/05/1983,01/05/1983,3,Let's Dance,David Bowie
07/05/1983,01/05/1983,4,Come On Eileen,Dexys Midnight Runners
07/05/1983,01/05/1983,5,Der Kommissar,After The Fire
07/05/1983,01/05/1983,6,Overkill,Men At Work
07/05/1983,01/05/1983,7,She Blinded Me With Science,Thomas Dolby
07/05/1983,01/05/1983,8,Mr. Roboto,Styx
07/05/1983,01/05/1983,9,Little Red Corvette,Prince
07/05/1983,01/05/1983,10,I Won't Hold You Back,Toto
07/05/1983,01/05/1983,11,Solitaire,Laura Branigan
07/05/1983,01/05/1983,12,Even Now,Bob Seger & The Silver Bullet Band
07/05/1983,01/05/1983,13,Flashdance...What A Feeling,Irene Cara
07/05/1983,01/05/1983,14,Billie Jean,Michael Jackson
07/05/1983,01/05/1983,15,Photograph,Def Leppard
04/06/1983,01/06/1983,1,Flashdance...What A Feeling,Irene Cara
04/06/1983,01/06/1983,2,Let's Dance,David Bowie
04/06/1983,01/06/1983,3,Overkill,Men At Work
04/06/1983,01/06/1983,4,Time (Clock Of The Heart),Culture Club
04/06/1983,01/06/1983,5,She Blinded Me With Science,Thomas Dolby
04/06/1983,01/06/1983,6,Beat It,Michael Jackson
04/06/1983,01/06/1983,7,My Love,Lionel Richie
04/06/1983,01/06/1983,8,Little Red Corvette,Prince
04/06/1983,01/06/1983,9,Solitaire,Laura Branigan
04/06/1983,01/06/1983,10,Straight From The Heart,Bryan Adams
04/06/1983,01/06/1983,11,Affair Of The Heart,Rick Springfield
04/06/1983,01/06/1983,12,Always Something There To Remind Me,Naked Eyes
04/06/1983,01/06/1983,13,Faithfully,Journey
04/06/1983,01/06/1983,14,Don't Let It End,Styx
04/06/1983,01/06/1983,15,Family Man,Daryl Hall John Oates
02/07/1983,01/07/1983,1,Flashdance...What A Feeling,Irene Cara
02/07/1983,01/07/1983,2,Electric Avenue,Eddy Grant
02/07/1983,01/07/1983,3,Every Breath You Take,The Police
02/07/1983,01/07/1983,4,Time (Clock Of The Heart),Culture Club
02/07/1983,01/07/1983,5,Never Gonna Let You Go,Sergio Mendes
02/07/1983,01/07/1983,6,Don't Let It End,Styx
02/07/1983,01/07/1983,7,Too Shy,Kajagoogoo
02/07/1983,01/07/1983,8,Family Man,Daryl Hall John Oates
02/07/1983,01/07/1983,9,Wanna Be Startin' Somethin',Michael Jackson
02/07/1983,01/07/1983,10,She's A Beauty,The Tubes
02/07/1983,01/07/1983,11,Come Dancing,The Kinks
02/07/1983,01/07/1983,12,Affair Of The Heart,Rick Springfield
02/07/1983,01/07/1983,13,Our House,Madness
02/07/1983,01/07/1983,14,I'm Still Standing,Elton John
02/07/1983,01/07/1983,15,Let's Dance,David Bowie
06/08/1983,01/08/1983,1,Every Breath You Take,The Police
06/08/1983,01/08/1983,2,Sweet Dreams (Are Made Of This),Eurythmics
06/08/1983,01/08/1983,3,She Works Hard For The Money,Donna Summer
06/08/1983,01/08/1983,4,Is There Something I Should Know,Duran Duran
06/08/1983,01/08/1983,5,Flashdance...What A Feeling,Irene Cara
06/08/1983,01/08/1983,6,Electric Avenue,Eddy Grant
06/08/1983,01/08/1983,7,Maniac,Michael Sembello
06/08/1983,01/08/1983,8,Never Gonna Let You Go,Sergio Mendes
06/08/1983,01/08/1983,9,Stand Back,Stevie Nicks
06/08/1983,01/08/1983,10,Wanna Be Startin' Somethin',Michael Jackson
06/08/1983,01/08/1983,11,It's A Mistake,Men At Work
06/08/1983,01/08/1983,12,Our House,Madness
06/08/1983,01/08/1983,13,(Keep Feeling) Fascination,The Human League
06/08/1983,01/08/1983,14,Hot Girls In Love,Loverboy
06/08/1983,01/08/1983,15,Cuts Like A Knife,Bryan Adams
03/09/1983,01/09/1983,1,Sweet Dreams (Are Made Of This),Eurythmics
03/09/1983,01/09/1983,2,Maniac,Michael Sembello
03/09/1983,01/09/1983,3,Every Breath You Take,The Police
03/09/1983,01/09/1983,4,Puttin' On The Ritz,Taco
03/09/1983,01/09/1983,5,She Works Hard For The Money,Donna Summer
03/09/1983,01/09/1983,6,The Safety Dance,Men Without Hats
03/09/1983,01/09/1983,7,Tell Her About It,Billy Joel
03/09/1983,01/09/1983,8,It's A Mistake,Men At Work
03/09/1983,01/09/1983,9,I'll Tumble 4 Ya,Culture Club
03/09/1983,01/09/1983,10,Human Nature,Michael Jackson
03/09/1983,01/09/1983,11,(Keep Feeling) Fascination,The Human League
03/09/1983,01/09/1983,12,China Girl,David Bowie
03/09/1983,01/09/1983,13,Don't Cry,Asia
03/09/1983,01/09/1983,14,Lawyers In Love,Jackson Browne
03/09/1983,01/09/1983,15,Total Eclipse Of The Heart,Bonnie Tyler
01/10/1983,01/10/1983,1,Total Eclipse Of The Heart,Bonnie Tyler
01/10/1983,01/10/1983,2,Tell Her About It,Billy Joel
01/10/1983,01/10/1983,3,The Safety Dance,Men Without Hats
01/10/1983,01/10/1983,4,Making Love Out Of Nothing At All,Air Supply
01/10/1983,01/10/1983,5,(she's) Sexy + 17,Stray Cats
01/10/1983,01/10/1983,6,King Of Pain,The Police
01/10/1983,01/10/1983,7,TRUE,Spandau Ballet
01/10/1983,01/10/1983,8,Maniac,Michael Sembello
01/10/1983,01/10/1983,9,Islands In The Stream,Kenny Rogers Duet With Dolly Parton
01/10/1983,01/10/1983,10,Far From Over,Frank Stallone
01/10/1983,01/10/1983,11,Don't Cry,Asia
01/10/1983,01/10/1983,12,"Promises, Promises",Naked Eyes
01/10/1983,01/10/1983,13,How Am I Supposed To Live Without You,Laura Branigan
01/10/1983,01/10/1983,14,Puttin' On The Ritz,Taco
01/10/1983,01/10/1983,15,Human Nature,Michael Jackson
05/11/1983,01/11/1983,1,Islands In The Stream,Kenny Rogers Duet With Dolly Parton
05/11/1983,01/11/1983,2,All Night Long (All Night),Lionel Richie
05/11/1983,01/11/1983,3,Total Eclipse Of The Heart,Bonnie Tyler
05/11/1983,01/11/1983,4,One Thing Leads To Another,The Fixx
05/11/1983,01/11/1983,5,Uptown Girl,Billy Joel
05/11/1983,01/11/1983,6,Say Say Say,Paul McCartney And Michael Jackson
05/11/1983,01/11/1983,7,Making Love Out Of Nothing At All,Air Supply
05/11/1983,01/11/1983,8,Delirious,Prince
05/11/1983,01/11/1983,9,Telefone (long Distance Love Affair),Sheena Easton
05/11/1983,01/11/1983,10,TRUE,Spandau Ballet
05/11/1983,01/11/1983,11,Suddenly Last Summer,The Motels
05/11/1983,01/11/1983,12,Cum On Feel The Noize,Quiet Riot
05/11/1983,01/11/1983,13,King Of Pain,The Police
05/11/1983,01/11/1983,14,If Anyone Falls,Stevie Nicks
05/11/1983,01/11/1983,15,Modern Love,David Bowie
03/12/1983,01/12/1983,1,All Night Long (All Night),Lionel Richie
03/12/1983,01/12/1983,2,Say Say Say,Paul McCartney And Michael Jackson
03/12/1983,01/12/1983,3,Uptown Girl,Billy Joel
03/12/1983,01/12/1983,4,Islands In The Stream,Kenny Rogers Duet With Dolly Parton
03/12/1983,01/12/1983,5,Say It Isn't So,Daryl Hall John Oates
03/12/1983,01/12/1983,6,Love Is A Battlefield,Pat Benatar
03/12/1983,01/12/1983,7,Cum On Feel The Noize,Quiet Riot
03/12/1983,01/12/1983,8,Heart And Soul,Huey Lewis & The News
03/12/1983,01/12/1983,9,Crumblin' Down,John Cougar Mellencamp
03/12/1983,01/12/1983,10,Church Of The Poison Mind,Culture Club
03/12/1983,01/12/1983,11,Union Of The Snake,Duran Duran
03/12/1983,01/12/1983,12,P.Y.T. (Pretty Young Thing),Michael Jackson
03/12/1983,01/12/1983,13,Why Me?,Irene Cara
03/12/1983,01/12/1983,14,Owner Of A Lonely Heart,Yes
03/12/1983,01/12/1983,15,Undercover Of The Night,The Rolling Stones
07/01/1984,01/01/1984,1,Say Say Say,Paul McCartney And Michael Jackson
07/01/1984,01/01/1984,2,Say It Isn't So,Daryl Hall John Oates
07/01/1984,01/01/1984,3,Union Of The Snake,Duran Duran
07/01/1984,01/01/1984,4,Owner Of A Lonely Heart,Yes
07/01/1984,01/01/1984,5,Twist Of Fate,Olivia Newton-John
07/01/1984,01/01/1984,6,Talking In Your Sleep,The Romantics
07/01/1984,01/01/1984,7,Break My Stride,Matthew Wilder
07/01/1984,01/01/1984,8,I Guess That's Why They Call It The Blues,Elton John
07/01/1984,01/01/1984,9,Undercover Of The Night,The Rolling Stones
07/01/1984,01/01/1984,10,All Night Long (All Night),Lionel Richie
07/01/1984,01/01/1984,11,Uptown Girl,Billy Joel
07/01/1984,01/01/1984,12,Love Is A Battlefield,Pat Benatar
07/01/1984,01/01/1984,13,Karma Chameleon,Culture Club
07/01/1984,01/01/1984,14,Major Tom (Coming Home),Peter Schilling
07/01/1984,01/01/1984,15,Running With The Night,Lionel Richie
04/02/1984,01/02/1984,1,Karma Chameleon,Culture Club
04/02/1984,01/02/1984,2,Owner Of A Lonely Heart,Yes
04/02/1984,01/02/1984,3,Talking In Your Sleep,The Romantics
04/02/1984,01/02/1984,4,Joanna,Kool & The Gang
04/02/1984,01/02/1984,5,Break My Stride,Matthew Wilder
04/02/1984,01/02/1984,6,I Guess That's Why They Call It The Blues,Elton John
04/02/1984,01/02/1984,7,Running With The Night,Lionel Richie
04/02/1984,01/02/1984,8,That's All,Genesis
04/02/1984,01/02/1984,9,Think Of Laura,Christopher Cross
04/02/1984,01/02/1984,10,Pink Houses,John Mellencamp
04/02/1984,01/02/1984,11,Jump,Van Halen
04/02/1984,01/02/1984,12,I Still Can't Get Over Loving You,Ray Parker Jr.
04/02/1984,01/02/1984,13,Say Say Say,Paul McCartney And Michael Jackson
04/02/1984,01/02/1984,14,Let The Music Play,Shannon
04/02/1984,01/02/1984,15,An Innocent Man,Billy Joel
03/03/1984,01/03/1984,1,Jump,Van Halen
03/03/1984,01/03/1984,2,99 Luftballons,Nena
03/03/1984,01/03/1984,3,Girls Just Want To Have Fun,Cyndi Lauper
03/03/1984,01/03/1984,4,Thriller,Michael Jackson
03/03/1984,01/03/1984,5,Nobody Told Me,John Lennon
03/03/1984,01/03/1984,6,Karma Chameleon,Culture Club
03/03/1984,01/03/1984,7,Somebody's Watching Me,Rockwell
03/03/1984,01/03/1984,8,Wrapped Around Your Finger,The Police
03/03/1984,01/03/1984,9,Let The Music Play,Shannon
03/03/1984,01/03/1984,10,I Want A New Drug,Huey Lewis & The News
03/03/1984,01/03/1984,11,Here Comes The Rain Again,Eurythmics
03/03/1984,01/03/1984,12,Joanna,Kool & The Gang
03/03/1984,01/03/1984,13,New Moon On Monday,Duran Duran
03/03/1984,01/03/1984,14,An Innocent Man,Billy Joel
03/03/1984,01/03/1984,15,That's All,Genesis
07/04/1984,01/04/1984,1,Footloose,Kenny Loggins
07/04/1984,01/04/1984,2,Somebody's Watching Me,Rockwell
07/04/1984,01/04/1984,3,Against All Odds (Take A Look At Me Now),Phil Collins
07/04/1984,01/04/1984,4,Here Comes The Rain Again,Eurythmics
07/04/1984,01/04/1984,5,Jump,Van Halen
07/04/1984,01/04/1984,6,Automatic,The Pointer Sisters
07/04/1984,01/04/1984,7,Miss Me Blind,Culture Club
07/04/1984,01/04/1984,8,Adult Education,Daryl Hall John Oates
07/04/1984,01/04/1984,9,Girls Just Want To Have Fun,Cyndi Lauper
07/04/1984,01/04/1984,10,Hello,Lionel Richie
07/04/1984,01/04/1984,11,Hold Me Now,Thompson Twins
07/04/1984,01/04/1984,12,I Want A New Drug,Huey Lewis & The News
07/04/1984,01/04/1984,13,Eat It,"""Weird Al"" Yankovic"
07/04/1984,01/04/1984,14,99 Luftballons,Nena
07/04/1984,01/04/1984,15,They Don't Know,Tracey Ullman
05/05/1984,01/05/1984,1,Against All Odds (Take A Look At Me Now),Phil Collins
05/05/1984,01/05/1984,2,Hello,Lionel Richie
05/05/1984,01/05/1984,3,Hold Me Now,Thompson Twins
05/05/1984,01/05/1984,4,Footloose,Kenny Loggins
05/05/1984,01/05/1984,5,Love Somebody,Rick Springfield
05/05/1984,01/05/1984,6,To All The Girls I've Loved Before,Julio Iglesias And Willie Nelson
05/05/1984,01/05/1984,7,You Might Think,The Cars
05/05/1984,01/05/1984,8,They Don't Know,Tracey Ullman
05/05/1984,01/05/1984,9,Let's Hear It For The Boy,Deniece Williams
